"Carga","Deslocamento","L","L - L0","Tensão","Deformação","","D","10"
"0.0100","0.0000","100.0000","0.0000","0.1273","0.0000","","L0","100"
"0.0200","0.0100","100.0000","0.0000","0.2546","0.0000","","",""
"0.0200","0.0500","100.0000","0.0000","0.2546","0.0000","","",""
"0.0200","0.0600","100.0000","0.0000","0.2546","0.0000","","",""
"0.0300","0.1500","100.0000","0.0000","0.3820","0.0000","","",""
"0.0900","0.1700","100.0000","0.0000","1.1459","0.0000","","",""
"0.1000","0.1900","100.0000","0.0000","1.2732","0.0000","","",""
"0.1100","0.2000","100.0000","0.0000","1.4006","0.0000","","",""
"0.1100","0.2400","100.0000","0.0000","1.4006","0.0000","","",""
"0.1300","0.2700","100.0000","0.0000","1.6552","0.0000","","",""
"0.1500","0.2900","100.0000","0.0000","1.9099","0.0000","","",""
"0.2200","0.3100","100.0000","0.0000","2.8011","0.0000","","",""
"0.4100","0.3200","100.0000","0.0000","5.2203","0.0000","","",""
"0.6000","0.3400","100.0100","0.0100","7.6394","0.0001","","",""
"0.6900","0.4700","100.0100","0.0100","8.7854","0.0001","","",""
"1.6000","0.5400","100.0100","0.0100","20.3718","0.0001","","",""
"2.5900","0.5700","100.0200","0.0200","32.9769","0.0002","","",""
"4.1500","0.6400","100.0300","0.0300","52.8394","0.0003","","",""
"5.4800","0.6900","100.0400","0.0400","69.7735","0.0004","","",""
"7.0400","0.7500","100.0500","0.0500","89.6361","0.0005","","",""
"8.7500","0.8000","100.0600","0.0600","111.4085","0.0006","","",""
"10.6100","0.8600","100.0700","0.0700","135.0907","0.0007","","",""
"11.8200","0.8900","100.0800","0.0800","150.4969","0.0008","","",""
"13.6900","0.9400","100.0900","0.0900","174.3065","0.0009","","",""
"15.6000","0.9900","100.1000","0.1000","198.6254","0.0010","","",""
"17.6300","1.0500","100.1100","0.1100","224.4721","0.0011","","",""
"19.5300","1.1000","100.1200","0.1200","248.6637","0.0012","","",""
"20.8800","1.1300","100.1300","0.1300","265.8524","0.0013","","",""
"22.8400","1.1900","100.1400","0.1400","290.8079","0.0014","","",""
"24.9000","1.2400","100.1500","0.1500","317.0366","0.0015","","",""
"26.8900","1.2900","100.1700","0.1700","342.3741","0.0017","","",""
"28.9400","1.3400","100.1800","0.1800","368.4755","0.0018","","",""
"30.9000","1.3900","100.1900","0.1900","393.4310","0.0019","","",""
"28.0800","1.4200","100.2400","0.2400","357.5257","0.0024","","",""
"27.5200","1.4400","100.2600","0.2600","350.3955","0.0026","","",""
"27.6600","1.4700","100.2900","0.2900","352.1781","0.0029","","",""
"27.6200","1.4900","100.3100","0.3100","351.6688","0.0031","","",""
"27.4100","1.5300","100.3500","0.3500","348.9950","0.0035","","",""
"27.4000","1.6100","100.4300","0.4300","348.8676","0.0043","","",""
"27.1500","1.7600","100.5800","0.5800","345.6845","0.0058","","",""
"27.3500","1.9000","100.7200","0.7200","348.2310","0.0072","","",""
"27.0200","2.0600","100.8800","0.8800","344.0293","0.0088","","",""
"27.5200","2.3200","101.1300","1.1300","350.3955","0.0113","","",""
"27.4700","2.4100","101.2200","1.2200","349.7589","0.0122","","",""
"26.9900","2.5800","101.3900","1.3900","343.6474","0.0139","","",""
"27.2200","2.7600","101.5700","1.5700","346.5758","0.0157","","",""
"27.0400","2.8500","101.6600","1.6600","344.2840","0.0166","","",""
"27.2600","3.0200","101.8300","1.8300","347.0851","0.0183","","",""
"27.7200","3.2100","102.0100","2.0100","352.9420","0.0201","","",""
"27.3900","3.3800","102.1800","2.1800","348.7403","0.0218","","",""
"27.6700","3.6400","102.4400","2.4400","352.3054","0.0244","","",""
"27.6400","3.7300","102.5300","2.5300","351.9234","0.0253","","",""
"27.5600","3.9000","102.7000","2.7000","350.9048","0.0270","","",""
"27.0000","4.0700","102.8700","2.8700","343.7747","0.0287","","",""
"27.0400","4.3200","103.0200","3.0200","344.2840","0.0302","","",""
"28.7100","4.6700","103.1900","3.1900","365.5471","0.0319","","",""
"29.0200","4.8400","103.3400","3.3400","369.4941","0.0334","","",""
"29.1700","4.9300","103.4100","3.4100","371.4040","0.0341","","",""
"29.7400","5.2800","103.7200","3.7200","378.6614","0.0372","","",""
"30.2600","5.6300","104.0200","4.0200","385.2823","0.0402","","",""
"30.3600","5.7100","104.1000","4.1000","386.5555","0.0410","","",""
"31.3000","6.4200","104.7200","4.7200","398.5240","0.0472","","",""
"31.8900","6.8800","105.1300","5.1300","406.0361","0.0513","","",""
"32.3700","7.3000","105.5100","5.5100","412.1476","0.0551","","",""
"32.7100","7.6300","105.8000","5.8000","416.4767","0.0580","","",""
"33.4300","8.4800","106.5600","6.5600","425.6440","0.0656","","",""
"33.5600","8.6600","106.7200","6.7200","427.2992","0.0672","","",""
"33.9300","9.1900","107.1900","7.1900","432.0102","0.0719","","",""
"34.2700","9.7000","107.6500","7.6500","436.3392","0.0765","","",""
"35.8300","13.2100","110.7900","10.7900","456.2017","0.1079","","",""
"35.9300","13.5500","111.1100","11.1100","457.4750","0.1111","","",""
"35.9900","13.7300","111.2700","11.2700","458.2389","0.1127","","",""
"36.1600","14.4200","111.9000","11.9000","460.4034","0.1190","","",""
"36.3300","15.1000","112.5300","12.5300","462.5679","0.1253","","",""
"36.4600","15.8000","113.1800","13.1800","464.2231","0.1318","","",""
"36.6100","16.8400","114.1400","14.1400","466.1330","0.1414","","",""
"36.7000","17.5300","114.7900","14.7900","467.2789","0.1479","","",""
"36.7700","18.4000","115.6000","15.6000","468.1702","0.1560","","",""
"36.8100","19.0900","116.2500","16.2500","468.6795","0.1625","","",""
"36.8700","20.1400","117.2400","17.2400","469.4434","0.1724","","",""
"36.8800","20.8400","117.8900","17.8900","469.5707","0.1789","","",""
"36.8900","21.5300","118.5500","18.5500","469.6981","0.1855","","",""
"36.8800","22.2300","119.2200","19.2200","469.5707","0.1922","","",""
"36.8600","22.9300","119.8900","19.8900","469.3161","0.1989","","",""
"36.8100","23.9900","120.9200","20.9200","468.6795","0.2092","","",""
"36.7400","24.6700","121.5900","21.5900","467.7882","0.2159","","",""
"36.6600","25.3700","122.2800","22.2800","466.7696","0.2228","","",""
"36.5500","26.0500","122.9600","22.9600","465.3691","0.2296","","",""
"36.2400","27.0800","123.9900","23.9900","461.4220","0.2399","","",""
"35.6400","27.9500","124.8700","24.8700","453.7826","0.2487","","",""
"35.2700","28.2900","125.2100","25.2100","449.0716","0.2521","","",""
"33.9100","29.1500","126.0800","26.0800","431.7555","0.2608","","",""
"32.3500","29.8300","126.7900","26.7900","411.8930","0.2679","","",""
"30.8700","30.3600","127.3300","27.3300","393.0490","0.2733","","",""
"29.0900","30.8700","127.8700","27.8700","370.3854","0.2787","","",""
"25.1700","31.7400","128.7800","28.7800","320.4744","0.2878","","",""
"24.1900","31.9100","128.9700","28.9700","307.9966","0.2897","","",""
